CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Middlesex,3150,Middlesex Co Vocational,"$65,370 ","$66,220","$65,570"
Monmouth,560,Brielle Borough,"$65,368 ","$63,568","$57,355"
Bergen,4610,Saddle Brook Township,"$65,365 ","$64,135","$62,925"
Passaic,900,Clifton City,"$65,350 ","$63,525","$60,250"
Cumberland,540,Bridgeton City,"$65,312 ","$64,870","$61,089"
Gloucester,1730,Glassboro,"$65,223 ","$67,873","$67,444"
Bergen,7890,Teaneck Community Charter Sc,"$65,210 ","$62,130","$58,475"
Bergen,6430,Englewood On The Palisades C,"$65,145 ","$65,145","$62,788"
Salem,4070,Penns Grv-Carney's Pt Reg,"$65,084 ","$62,966","$63,316"
Warren,5780,White Township,"$65,000 ","$59,435","$58,283"
Camden,1799,Kipp Cooper Norcross,"$65,000 ","$64,234","$63,851"
Essex,7325,Team Academy Charter School,"$65,000 ","$62,083","$64,234"
Burlington,600,Burlington City,"$64,997 ","$63,766","$62,262"
Ocean,2480,Lacey Township,"$64,940 ","$60,007","$51,761"
Ocean,2760,Long Beach Island,"$64,879 ","$63,074","$65,794"
Essex,3570,Newark City,"$64,848 ","$61,146","$61,200"
Bergen,4600,Rutherford Borough,"$64,838 ","$67,881","$65,741"
Morris,1530,Florham Park Borough,"$64,820 ","$62,830","$57,854"
Monmouth,4365,Red Bank Regional,"$64,805 ","$65,588","$63,300"
Cumberland,997,Cumberland Regional,"$64,722 ","$66,117","$60,832"
Somerset,5540,Watchung Borough,"$64,720 ","$63,390","$61,495"
Morris,1190,East Hanover Township,"$64,598 ","$65,430","$62,413"
Morris,3410,Mount Arlington Borough,"$64,550 ","$62,323","$61,508"
Somerset,4820,Somerville Borough,"$64,536 ","$64,690","$63,121"
Ocean,5190,Toms River Regional,"$64,515 ","$61,006","$62,431"
Camden,1802,Mastery Schools Of Camden,"$64,500 ","$60,000","$57,750"
Monmouth,5310,Upper Freehold Regional,"$64,468 ","$64,484","$63,080"
Ocean,4210,Point Pleasant Borough,"$64,456 ","$62,711","$61,385"
Monmouth,3830,Oceanport Borough,"$64,436 ","$65,036","$58,955"
Gloucester,4140,Pitman Borough,"$64,399 ","$62,972","$62,872"
Burlington,3010,Maple Shade Township,"$64,386 ","$65,742","$63,950"
Mercer,2580,Lawrence Township,"$64,386 ","$63,926","$60,451"
Bergen,5880,Woodcliff Lake Borough,"$64,355 ","$64,355","$62,480"
