Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment,PUMS Monthly mortgage payment.1
Utah,216.4010873,586.6982452999999,
Vermont,183.6834235,395.29330899999997,
Virginia,291.0303401,665.2918921,
Washington,312.1671981,630.1020006,
West Virginia,109.4980263,215.3690451,
Wisconsin,195.6549725,424.57685089999995,
Wyoming,161.4479479,413.3370756,
Alabama,159.0106437,315.98284049999995,
Alaska,278.1995701,521.3928647,
Arizona,251.32564390000002,457.18911399999996,
Arkansas,167.898212,260.19608930000004,
California,489.91517130000005,700.6352853,
Colorado,275.1024129,598.769152,
Connecticut,299.2277184,750.3279633999999,
Delaware,204.271877,517.5653116999999,
District of Columbia,625.3523461,560.9916587,
Florida,240.2663066,419.0815726,
Georgia,233.2697179,455.96428729999997,
Hawaii,468.9709111,640.5647087,
Idaho,175.6700332,425.26870599999995,
Illinois,255.90629700000002,541.9607312,
Indiana,179.5150863,367.7005518,
Iowa,161.7570918,355.499886,
Kansas,198.5621841,382.8645105,
Kentucky,163.41003940000002,306.4388274,
Louisiana,195.78735,304.0986348,
Maine,143.39055990000003,339.4191912,
Maryland,335.3119472,771.4990878,
Massachusetts,348.44265,643.2468894,
Michigan,172.0843281,388.46087739999996,
Minnesota,189.6820055,555.9578594999999,
Mississippi,156.0565212,257.7250762,
Missouri,181.30586730000002,375.1809499,
Montana,152.2543881,361.0970671,
Nebraska,197.6216388,361.6740134,
Nevada,361.7094037,512.1837167,
New Hampshire,225.6014901,571.6533311000001,
New Jersey,341.5788286,774.8817407,
New Mexico,187.2267363,360.01989489999994,
New York,444.2459883,495.09069139999997,
North Carolina,201.4529684,391.9881795,
North Dakota,165.31899819999998,277.41662189999994,
Ohio,192.5734993,385.5560776,
Oklahoma,175.84950049999998,304.87955439999996,
Oregon,290.558713,495.73827479999994,
Pennsylvania,205.46336409999998,415.85371910000003,
Rhode Island,290.48170330000005,533.6493128999999,
South Carolina,180.9989857,340.149925,
South Dakota,161.8079916,327.99778039999995,
Tennessee,188.2352169,348.84991260000004,
Texas,259.4974156,379.70809429999997,
Utah,221.08084159999999,573.6950787999999,
Vermont,189.9845521,369.7761374,
Virginia,303.4202395,653.1901407,
Washington,316.1669234,604.2088539,
West Virginia,110.21048090000001,217.5818992,
Wisconsin,199.1012761,414.4326779,
Wyoming,170.2819479,371.30624589999996,
Alabama,167.6768998,308.6000543,
Alaska,310.2149192,504.22389469999996,
Arizona,261.40381060000004,419.36089389999995,
Arkansas,174.75401200000002,267.6173174,
California,502.71137289999996,675.849338,
Colorado,303.56190219999996,577.1680692000001,
Connecticut,304.6912108,718.137055,
Delaware,226.9174946,472.5341318,
District of Columbia,686.7600466,558.0084508,
Florida,255.10349480000002,399.14144489999995,
Georgia,249.58474339999998,424.64771619999993,
Hawaii,494.1188518999999,597.6475644999999,
Idaho,189.32262450000002,393.26910380000004,
Illinois,262.3659856,522.0749068,
Indiana,188.8662078,353.3111159,
Iowa,165.0807071,358.8325645,
Kansas,202.0357733,376.1273501,
Kentucky,161.5183246,305.338446,
Louisiana,204.5183034,299.82422510000004,
Maine,163.882165,337.9313967,
Maryland,342.8463099,759.8719267999999,
Massachusetts,359.66293199999996,634.6896569,
Michigan,178.12421899999998,367.0099566,
Minnesota,190.37246480000002,539.9285723999999,
Mississippi,159.2155247,253.9633582,
Missouri,193.6410298,371.7307627,
Montana,171.3083693,335.8807849,
Nebraska,205.9293494,378.5419717,
Nevada,357.2274881,448.7194187,
New Hampshire,220.2117332,562.2635964,
New Jersey,355.71398089999997,762.7538022000001,
New Mexico,192.984602,357.55675160000004,
New York,463.93149739999996,488.01690779999996,
North Carolina,209.82623109999997,384.3510363,
North Dakota,182.49417549999998,284.23160110000003,
Ohio,204.3933038,374.69726860000003,
Oklahoma,187.841879,300.7429033,
Oregon,311.922706,472.2111808,
Pennsylvania,216.24656980000003,412.1123491,
Rhode Island,309.38674439999994,521.5409486000001,
South Carolina,182.0581281,339.65243849999996,
South Dakota,163.7220023,318.6040636,
Tennessee,199.92056730000002,345.140296,
Texas,272.48638989999995,370.8966136,
Utah,229.0462772,540.2760579,
Vermont,182.0046149,387.7978945,
Virginia,314.0048636,633.3257437000001,
Washington,331.9766113,591.410032,
West Virginia,120.04343290000001,214.13858369999997,
Wisconsin,210.2012653,399.07579910000004,
Wyoming,184.9186455,387.103301,
Alabama,171.3460465,299.021665,
Alaska,326.9436007,499.58992699999993,
Arizona,287.3798291,385.469452,
Arkansas,179.6059862,260.28199,
California,529.7371983,644.908918,
Colorado,313.5556207,564.1494,
Connecticut,315.3496581,706.6113339999999,
Delaware,236.41901209999997,486.600291,
District of Columbia,693.938454,577.073976,
Florida,270.8223984,377.270773,
Georgia,258.3589085,416.76160899999996,
Hawaii,506.68291550000004,608.501393,
Idaho,191.9352022,403.42528300000004,
Illinois,272.7523232,518.0500559999999,
Indiana,190.5493325,346.341625,
Iowa,171.7533126,361.88218,
Kansas,229.7015063,371.72245499999997,
Kentucky,180.04748519999998,303.05560499999996,
Louisiana,209.9764733,309.584155,
Maine,167.83088759999998,323.627447,
Maryland,354.92050919999997,742.536192,
Massachusetts,361.4978604,640.1582480000001,
Michigan,187.5199461,355.668809,
